>gi|49175990|ref|NC_000913.2|
337	2799	+	1	1.303446	I:	D:
2801	3733	+	2	1.316778	I:	D:
3734	5020	+	2	1.293252	I:	D:
5234	5530	+	2	1.354610	I:	D:
5683	6459	-	1	1.291230	I:	D:
6529	7959	-	1	1.323480	I:	D:
8238	9191	+	3	1.285988	I:	D:
9306	9893	+	3	1.316997	I:	D:
9928	10494	-	1	1.277907	I:	D:
10643	11356	-	2	1.306614	I:	D:
11382	11786	-	3	1.315169	I:	D:
12163	14079	+	1	1.278914	I:	D:
14168	15298	+	2	1.300261	I:	D:
15445	16557	+	1	1.350530	I:	D:
16580	16720	+	2	1.370642	I:	D:
16751	16960	-	2	1.355407	I:	D:
17489	18655	+	2	1.317826	I:	D:
18715	19620	+	1	1.325554	I:	D:
19811	20314	-	2	1.351429	I:	D:
20815	21078	-	1	1.290599	I:	D:
21181	21399	+	1	1.362540	I:	D:
21407	22348	+	2	1.310783	I:	D:
22391	25207	+	2	1.299486	I:	D:
25207	25701	+	1	1.288709	I:	D:
25826	26275	+	2	1.289547	I:	D:
26277	27227	+	3	1.296046	I:	D:
27293	28207	+	2	1.314966	I:	D:
28374	29195	+	3	1.298981	I:	D:
29624	30799	+	2	1.306242	I:	D:
30817	34038	+	1	1.283322	I:	D:
34086	34265	-	3	1.338721	I:	D:
34300	34695	+	1	1.346787	I:	D:
34781	35371	-	2	1.326212	I:	D:
35377	36270	-	1	1.289513	I:	D:
36271	37839	-	1	1.320445	I:	D:
37898	39115	-	2	1.292793	I:	D:
39244	40386	-	1	1.292770	I:	D:
40417	41931	-	1	1.322749	I:	D:
42340	43173	+	1	1.287517	I:	D:
43188	44129	+	3	1.293007	I:	D:
44180	45466	+	2	1.290560	I:	D:
45463	45750	+	1	1.332821	I:	D:
45807	47138	+	3	1.315309	I:	D:
47246	47776	+	2	1.314252	I:	D:
47769	49631	+	3	1.287518	I:	D:
49688	50302	+	2	1.323190	I:	D:
50380	51222	-	1	1.310192	I:	D:
51229	51606	-	1	1.321304	I:	D:
51609	52430	-	3	1.308162	I:	D:
52427	53416	-	2	1.311229	I:	D:
53416	54702	-	1	1.286516	I:	D:
54755	57109	-	2	1.316436	I:	D:
57364	58179	+	1	1.292843	I:	D:
58188	58334	+	3	1.390185	I:	D:
58474	59124	+	1	1.350188	I:	D:
59687	60346	-	2	1.312989	I:	D:
60358	63264	-	1	1.279512	I:	D:
63429	65780	-	3	1.306082	I:	D:
65855	66550	-	2	1.295773	I:	D:
66577	66732	+	1	1.361296	I:	D:
66835	68337	-	1	1.294259	I:	D:
68348	70048	-	2	1.310403	I:	D:
70336	71265	+	1	1.337668	I:	D:
71351	72115	+	2	1.305019	I:	D:
72229	72927	-	1	1.323188	I:	D:
72911	74521	-	2	1.311124	I:	D:
74497	75480	-	1	1.295168	I:	D:
75644	77299	-	2	1.318870	I:	D:
77388	77519	+	3	1.338098	I:	D:
77621	78799	+	2	1.335268	I:	D:
78848	79453	-	2	1.285400	I:	D:
79464	80864	-	3	1.287152	I:	D:
80867	81958	-	2	1.286097	I:	D:
81958	83529	-	1	1.283915	I:	D:
84350	85312	+	2	1.330860	I:	D:
85546	87354	+	1	1.327908	I:	D:
87357	87848	+	3	1.306420	I:	D:
88028	89032	+	2	1.303894	I:	D:
89634	90092	+	3	1.326672	I:	D:
90094	91035	+	1	1.296453	I:	D:
91032	91397	+	3	1.313259	I:	D:
91413	93179	+	3	1.312510	I:	D:
93166	94653	+	1	1.302559	I:	D:
94650	96008	+	3	1.303522	I:	D:
96002	97084	+	2	1.301115	I:	D:
97087	98403	+	1	1.297103	I:	D:
98403	99647	+	3	1.301685	I:	D:
99644	100711	+	2	1.310662	I:	D:
100765	102240	+	1	1.298552	I:	D:
102233	103153	+	2	1.323374	I:	D:
103155	103985	+	3	1.309402	I:	D:
103982	105244	+	2	1.314731	I:	D:
105305	106456	+	2	1.281815	I:	D:
106557	107474	+	3	1.300400	I:	D:
107552	108217	+	2	1.335902	I:	D:
108279	110984	+	3	1.286040	I:	D:
111044	111433	+	2	1.303691	I:	D:
111598	111843	+	1	1.363790	I:	D:
111856	112557	-	1	1.310923	I:	D:
112599	113219	-	3	1.307337	I:	D:
113444	114487	+	2	1.304634	I:	D:
114522	115724	-	3	1.324800	I:	D:
115714	117099	-	1	1.337302	I:	D:
117109	117549	-	1	1.307897	I:	D:
117752	118687	-	2	1.298571	I:	D:
118733	119284	+	2	1.327655	I:	D:
119281	120135	+	1	1.316937	I:	D:
120178	121548	-	1	1.303246	I:	D:
122092	122856	+	1	1.317812	I:	D:
123017	125680	+	2	1.290840	I:	D:
125695	127587	+	1	1.276547	I:	D:
127879	129336	+	1	1.281436	I:	D:
129407	131260	-	2	1.343946	I:	D:
131462	134212	+	2	1.297939	I:	D:
134340	134750	+	3	1.298632	I:	D:
134788	135582	-	1	1.299912	I:	D:
135598	136464	-	1	1.305803	I:	D:
136570	136917	-	1	1.305817	I:	D:
137083	138633	+	1	1.304511	I:	D:
138835	141225	-	1	1.307019	I:	D:
141431	141967	+	2	1.296045	I:	D:
142008	142670	-	3	1.311926	I:	D:
142779	143705	+	3	1.302202	I:	D:
143702	144472	+	2	1.300851	I:	D:
144577	145017	+	1	1.344303	I:	D:
145081	146310	+	1	1.325451	I:	D:
146314	146694	-	1	1.288202	I:	D:
146968	147870	+	1	1.332319	I:	D:
147944	148795	-	2	1.281065	I:	D:
148807	149601	-	1	1.289664	I:	D:
